,daysBetweenDates,isBasicEconomy,1depTimeOnly,numberOfStopovers,waitingTime,numericalStartingAirport,numericalDestinationAirport,numerical1cabin,totalFare
233,49,0,24,1,7.0,9,10,1,687.21
234,26,0,7,1,3.0,15,2,1,226.6
235,40,0,7,1,4.0,2,3,1,324.1
236,37,0,13,1,2.0,10,9,1,266.1
237,51,0,11,1,2.0,0,12,1,334.58
238,2,0,9,0,0.0,13,14,1,202.6
239,52,0,7,2,11.0,2,12,1,533.2
240,29,0,15,1,1.0,6,2,3,843.1
241,34,0,12,1,1.0,15,11,1,364.6
242,43,0,7,1,2.0,3,10,1,83.99
243,26,0,12,1,5.0,11,15,1,490.2
244,8,0,20,1,2.0,15,8,1,267.6
245,39,1,15,1,3.0,13,7,1,113.6
246,35,1,7,1,1.0,6,3,1,167.6
247,15,0,23,0,0.0,9,13,1,108.6
248,18,0,20,1,1.0,6,1,1,410.1
249,29,1,24,1,1.0,15,10,1,137.6
250,60,0,23,1,4.0,3,2,1,83.97
251,32,0,14,0,0.0,1,0,1,188.6
252,32,0,14,1,2.0,12,5,1,457.6
253,48,0,15,1,1.0,15,4,1,197.6
254,15,0,11,1,0.0,3,2,1,357.6
255,35,1,15,1,3.0,4,1,1,175.61
256,13,0,8,1,3.0,15,10,1,227.6
257,52,0,20,1,2.0,0,3,1,585.61
258,25,1,23,2,11.0,9,0,1,146.7
259,24,0,14,1,5.0,15,12,1,377.2
260,18,1,16,1,2.0,14,3,1,214.6
261,48,0,8,1,4.0,14,11,1,228.6
262,22,0,7,1,2.0,2,14,1,357.1
263,23,1,11,1,4.0,5,15,1,226.6
264,3,0,23,1,2.0,9,14,1,510.1
265,50,0,22,1,5.0,15,6,1,702.2
266,49,0,8,1,8.0,12,6,1,555.21
267,9,0,14,1,1.0,13,0,1,217.61
268,57,0,9,1,2.0,5,0,1,481.6
269,22,0,16,1,4.0,14,6,1,311.1
270,28,0,14,2,5.0,4,12,1,425.1
271,11,0,7,2,6.0,10,9,1,518.1
272,36,0,13,0,0.0,4,14,1,571.6
273,21,0,5,1,5.0,7,10,1,285.7
274,1,0,17,1,1.0,2,14,1,297.1
275,26,1,19,1,1.0,10,4,1,112.6
277,51,0,8,1,2.0,6,9,1,301.61
278,55,0,17,1,5.0,9,0,1,519.6
279,21,0,19,0,0.0,14,5,1,508.6
280,15,0,13,1,1.0,9,2,1,468.6
281,46,0,16,2,9.0,11,8,1,542.7
282,17,1,23,0,0.0,9,11,1,198.6
283,12,0,6,1,3.0,14,10,1,410.6
284,18,0,6,1,2.0,1,2,1,358.6
285,7,0,8,2,8.0,12,4,1,537.7
286,14,0,6,1,2.0,15,4,1,257.6
288,6,0,7,1,1.0,14,2,1,211.6
289,34,0,19,0,0.0,5,10,1,62.59
290,35,0,10,1,1.0,11,0,1,241.6
